topic_id,top_terms
0,"gear, landing gear, landing, nose, nose gear, main, runway, checklist, locked, extension, green, light"
1,"smell, smoke, flight, odor, cabin, attendant, flight attendant, fumes, attendants, flight attendants, fa, captain"
2,"departure, heading, clearance, atc, arrival, fms, turn, altitude, controller, direct, flight, route"
3,"turbulence, wake, wake turbulence, encountered, severe, severe turbulence, atc, flight, moderate, autopilot, encounter, altitude"
4,"sector, airspace, controller, radar, traffic, sectors, frequency, working, area, weather, time, controllers"
5,"runway, taxiway, taxi, tower, short, hold, hold short, ground, takeoff, controller, cleared, clearance"
6,"flight, maintenance, crew, mel, time, company, did, day, safety, dispatch, gps, issue"
7,"pattern, runway, traffic, downwind, final, radio, student, base, right, left, xx, traffic pattern"
8,"000, ft, 000 ft, altitude, cabin, 000 feet, feet, 10 000, descent, cabin altitude, 10, atc"
9,"approach, visual, terrain, runway, altitude, ils, final, feet, visual approach, ft, cleared, tower"
10,"traffic, drone, feet, ra, ft, tcas, airspace, tower, approach, vfr, altitude, class"
11,"flaps, landing, maintenance, qrh, takeoff, trim, captain, checklist, flight, message, dispatch, flap"
12,"engine, oil, power, right engine, landing, left engine, flight, checklist, right, normal, shut, left"
13,"fuel, tank, engine, flight, lbs, tanks, leak, imbalance, landing, airport, left, gallons"
14,"door, ramp, gate, tug, push, brake, brakes, parking, crew, ground, driver, stop"
15,"runway, left, landing, plane, right, student, rudder, damage, grass, wind, airplane, wheel"
